Kinase,Compound,Predicted_Kd_Category
PRKG1,Nilotinib,>300nM
PIK3CA(E545K),Staurosporine,>300nM
MET(M1250T),INCB18424,>300nM
CDK2,CHIR-258/TKI-258,>300nM
EGFR,CEP-701,<300nM
ACVR2B,CP-690550,>300nM
JAK1(JH2domain-pseudokinase),BMS-387032/SNS-032,>300nM
MET(Y1235D),R547,>300nM
ABL1(H396P)-nonphosphorylated,BIBW-2992,<300nM
HCK,CEP-701,<300nM
RSK4(Kin.Dom.1-N-terminal),ABT-869,>300nM
KIT(D816V),BIRB-796,<300nM
ERBB4,AG-013736,>300nM
EPHA8,AZD-2171,<300nM
PFCDPK1(P.falciparum),Ki-20227,>300nM
MET(Y1235D),BIBW-2992,>300nM
CIT,GW-2580,>300nM
MAP4K4,AG-013736,<300nM
PRKG1,Lapatinib,>300nM
ABL2,LY-333531,>300nM
TBK1,Flavopiridol,<300nM
ASK1,Erlotinib,>300nM
SRMS,PP-242,<300nM
IRAK3,Erlotinib,<300nM
CSNK2A1,R406,<300nM
CAMK1G,BIBW-2992,>300nM
PKN1,PTK-787,>300nM
BMPR1B,LY-317615,>300nM
ERBB4,Erlotinib,<300nM
MRCKA,CHIR-265/RAF-265,>300nM
FAK,R406,<300nM
ZAP70,MLN-8054,>300nM
BRSK2,Flavopiridol,>300nM
HIPK3,GSK-1838705A,>300nM
FGFR4,AG-013736,>300nM
YES,Dasatinib,<300nM
MAP4K2,R547,>300nM
NEK4,MLN-8054,>300nM
DDR1,AC220,<300nM
MST4,TAE-684,<300nM
EPHB4,Pazopanib,>300nM
PIM2,PLX-4720,>300nM
ACVR1B,PHA-665752,>300nM
CAMK2D,Flavopiridol,>300nM
IGF1R,R406,<300nM
ADCK3,Imatinib,>300nM
CDK5,BMS-540215,>300nM
ABL1(Y253F)-phosphorylated,A-674563,>300nM
BLK,GSK-690693,>300nM
PIK3CA(C420R),Nilotinib,>300nM
SBK1,PP-242,>300nM
HIPK2,LY-333531,<300nM
TESK1,JNJ-28312141,>300nM
YSK4,AT-7519,<300nM
DAPK2,BMS-387032/SNS-032,>300nM
DLK,GDC-0941,>300nM
"EGFR(L747-E749del, A750P)",TG-101348,<300nM
GAK,CHIR-258/TKI-258,<300nM
RET,Nilotinib,<300nM
SgK110,PLX-4720,>300nM
MKNK1,Dasatinib,>300nM
DCAMKL2,BMS-387032/SNS-032,>300nM
MLCK,PHA-665752,>300nM
FLT3(D835H),AG-013736,<300nM
FLT1,R406,<300nM
ERBB4,HKI-272,>300nM
ULK1,AZD-1152HQPA,>300nM
TNK1,BIBW-2992,>300nM
MLCK,BMS-540215,>300nM
ABL1(F317L)-phosphorylated,BMS-387032/SNS-032,>300nM
EPHA8,HKI-272,>300nM
"GCN2(Kin.Dom.2,S808G)",LY-333531,>300nM
CDK8,A-674563,<300nM
ABL2,PD-173955,<300nM
SgK110,KW-2449,<300nM
ACVR1B,CHIR-265/RAF-265,>300nM
EPHB4,KW-2449,<300nM
ZAK,AB-1010,>300nM
SNARK,SGX-523,>300nM
LATS1,AB-1010,>300nM
ASK1,A-674563,>300nM
FRK,BMS-540215,<300nM
LOK,INCB18424,<300nM
WEE2,MLN-518,>300nM
PIK3CA(H1047Y),PD-173955,>300nM
EPHA3,BIRB-796,>300nM
FGFR2,AB-1010,>300nM
ABL1(T315I)-phosphorylated,JNJ-28312141,<300nM
BMPR1A,AZD-6244/ARRY-886,>300nM
LRRK2(G2019S),SB-203580,>300nM
SIK,AZD-2171,>300nM
PDPK1,BIRB-796,>300nM
DAPK1,AG-013736,>300nM
STK16,MLN-518,>300nM
MAP3K3,MLN-120B,>300nM
PRKD3,MLN-518,>300nM
MYLK,Gefitinib,>300nM
CIT,INCB18424,>300nM
TIE1,ABT-869,<300nM
PIK3CA(H1047L),A-674563,>300nM
SIK,R406,<300nM
PRKD3,MLN-8054,>300nM
TIE1,BMS-540215,>300nM
PAK3,BIBW-2992,>300nM
PLK4,Nilotinib,>300nM
CAMK1G,AZD-2171,>300nM
PCTK1,PTK-787,>300nM
"EGFR(L858R,T790M)",R406,<300nM
CHEK2,PHA-665752,>300nM
TRKC,BMS-345541,>300nM
DMPK2,PLX-4720,>300nM
RIPK1,Gefitinib,>300nM
CDC2L1,HKI-272,>300nM
EGFR(T790M),CEP-701,<300nM
PRKX,Imatinib,>300nM
LYN,HKI-272,<300nM
PIK3CA(H1047L),Vandetanib,>300nM
DLK,GSK-1838705A,>300nM
PCTK3,PLX-4720,>300nM
ACVR2A,PTK-787,>300nM
INSRR,A-674563,>300nM
ACVR1B,PP-242,<300nM
PIK3CA,BMS-387032/SNS-032,>300nM
ERBB2,CI-1033,>300nM
DDR1,BMS-345541,>300nM
PKN2,AZD-1152HQPA,>300nM
PHKG2,BIRB-796,>300nM
ERK3,AST-487,<300nM
MYO3B,PHA-665752,>300nM
STK33,Lapatinib,>300nM
p38-beta,ABT-869,>300nM
AKT3,LY-317615,>300nM
DAPK2,Pazopanib,>300nM
CDK7,MLN-518,>300nM
MET,Staurosporine,<300nM
AXL,LY-317615,>300nM
RET,AB-1010,>300nM
KIT(A829P),TG-101348,<300nM
PKAC-alpha,AZD-1152HQPA,>300nM
MELK,TAE-684,<300nM
TRKB,Lapatinib,>300nM
EPHB4,Lapatinib,>300nM
TSSK1B,GDC-0879,>300nM
MEK4,R547,>300nM
CDC2L5,BMS-387032/SNS-032,>300nM
EPHA8,AT-7519,>300nM
SNRK,GSK-1838705A,>300nM
MEK1,Nilotinib,>300nM
ERBB3,HKI-272,<300nM
ERK2,GW-2580,>300nM
MAP4K5,AT-7519,>300nM
EPHB1,AC220,>300nM
CDK4-cyclinD3,AZD-2171,>300nM
CSNK2A2,Staurosporine,<300nM
ABL1(F317L)-phosphorylated,GDC-0941,>300nM
NEK11,Erlotinib,>300nM
PIM3,R547,>300nM
WEE1,SGX-523,>300nM
ROS1,PD-173955,<300nM
TGFBR2,ABT-869,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),ABT-869,>300nM
ANKK1,Nilotinib,>300nM
ABL1(E255K)-phosphorylated,BIRB-796,<300nM
EPHA4,INCB18424,>300nM
ICK,AT-7519,>300nM
SRPK3,CHIR-258/TKI-258,>300nM
AXL,SGX-523,>300nM
CSK,Gefitinib,>300nM
MAK,GDC-0941,>300nM
DYRK2,GDC-0941,>300nM
ABL1(Q252H)-phosphorylated,AZD-1152HQPA,<300nM
BMX,CHIR-258/TKI-258,>300nM
LRRK2,AST-487,<300nM
AMPK-alpha1,MLN-120B,>300nM
EPHB2,Imatinib,>300nM
EPHB3,Vandetanib,<300nM
p38-beta,MLN-518,>300nM
GRK4,PLX-4720,>300nM
KIT(D816V),SB-203580,>300nM
JAK2(JH1domain-catalytic),INCB18424,>300nM
PRKR,MLN-518,>300nM
MAPKAPK5,R406,<300nM
KIT,GDC-0941,>300nM
YES,GDC-0879,>300nM
DMPK2,GDC-0941,>300nM
MAP4K2,ABT-869,>300nM
ASK2,JNJ-28312141,>300nM
MYLK,BMS-345541,>300nM
HIPK2,AZD-1152HQPA,>300nM
OSR1,AZD-2171,>300nM
FER,AZD-2171,>300nM
PRKX,Nilotinib,>300nM
PRP4,AG-013736,>300nM
CDK7,PTK-787,>300nM
MST1R,AST-487,<300nM
CSNK1D,BMS-540215,>300nM
MKNK1,AT-7519,>300nM
SBK1,PLX-4720,>300nM
CAMK2D,KW-2449,<300nM
EIF2AK1,HKI-272,>300nM
TNK2,ABT-869,>300nM
BMPR2,Imatinib,>300nM
ABL1(E255K)-phosphorylated,TAE-684,<300nM
PIP5K2B,BI-2536,>300nM
MEK6,AZD-1152HQPA,>300nM
PIP5K2C,GDC-0941,>300nM
STK39,TAE-684,<300nM
PDGFRA,KW-2449,<300nM
PAK7,GDC-0879,>300nM
NEK5,GW-2580,>300nM
MAP3K3,CHIR-265/RAF-265,>300nM
CAMK4,SGX-523,>300nM
FLT3(ITD),MLN-8054,>300nM
FAK,Dasatinib,>300nM
PAK6,GSK-690693,>300nM
MYLK4,BIRB-796,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),BIBW-2992,>300nM
NLK,ABT-869,>300nM
NEK1,R547,>300nM
PRKG2,BMS-345541,>300nM
MEK2,PHA-665752,<300nM
CAMKK2,AB-1010,>300nM
S6K1,BIRB-796,>300nM
PIK3CA(H1047Y),MLN-8054,>300nM
SRC,Vandetanib,<300nM
NEK3,Lapatinib,>300nM
RET(M918T),HKI-272,<300nM
JAK1(JH1domain-catalytic),GDC-0941,>300nM
FER,R406,<300nM
AMPK-alpha1,GDC-0941,>300nM
MLK1,AZD-6244/ARRY-886,>300nM
MAP3K3,SGX-523,>300nM
ULK3,Ki-20227,>300nM
MET(M1250T),AZD-1152HQPA,>300nM
FYN,GSK-690693,>300nM
MAP3K15,CI-1033,>300nM
PKAC-beta,CP-690550,>300nM
CDC2L1,AG-013736,>300nM
SYK,PD-173955,<300nM
FLT3(D835Y),SB-203580,>300nM
PRKCE,PHA-665752,>300nM
CAMKK1,MLN-8054,>300nM
MAP3K1,INCB18424,>300nM
CAMK2B,INCB18424,>300nM
MEK1,Imatinib,>300nM
MAST1,GDC-0941,>300nM
CLK1,PHA-665752,<300nM
MST1,CEP-701,<300nM
PKAC-beta,BMS-345541,>300nM
RSK2(Kin.Dom.1-N-terminal),LY-317615,>300nM
TESK1,Flavopiridol,>300nM
GRK4,AG-013736,>300nM
NEK1,GSK-1838705A,>300nM
CDK2,GDC-0941,>300nM
FGFR2,TAE-684,<300nM
"EGFR(L747-S752del, P753S)",KW-2449,<300nM
NEK6,PHA-665752,>300nM
RIPK2,BI-2536,>300nM
ABL1(H396P)-phosphorylated,CHIR-258/TKI-258,<300nM
WEE2,A-674563,>300nM
MRCKB,SGX-523,>300nM
EPHB6,R406,<300nM
RIOK2,PKC-412,<300nM
YANK1,GW-2580,>300nM
TEC,AB-1010,>300nM
SIK,TAE-684,<300nM
EGFR(S752-I759del),Ki-20227,>300nM
PKMYT1,R406,>300nM
RET(V804L),Dasatinib,<300nM
JNK1,AZD-2171,>300nM
ERBB3,Gefitinib,>300nM
ERN1,HKI-272,>300nM
CAMK1D,TAE-684,<300nM
ACVRL1,BIBW-2992,>300nM
MAST1,Pazopanib,>300nM
ABL1(M351T)-phosphorylated,LY-317615,>300nM
EPHB1,CEP-701,<300nM
MINK,R547,>300nM
CLK4,Ki-20227,>300nM
MKNK1,TAE-684,<300nM
EGFR(E746-A750del),Erlotinib,<300nM
PFCDPK1(P.falciparum),MLN-518,>300nM
AMPK-alpha2,SB-203580,>300nM
EGFR(T790M),PHA-665752,>300nM
DCAMKL1,PKC-412,<300nM
ABL1-nonphosphorylated,AZD-6244/ARRY-886,>300nM
MARK2,GSK-1838705A,>300nM
PIP5K2B,LY-317615,>300nM
GSK3B,Ki-20227,>300nM
PAK2,JNJ-28312141,>300nM
PKAC-beta,BMS-387032/SNS-032,>300nM
RSK3(Kin.Dom.2-C-terminal),Vandetanib,>300nM
FLT3,GDC-0879,>300nM
EIF2AK1,AC220,>300nM
MAP3K3,PTK-787,>300nM
STK39,Imatinib,>300nM
CSNK1G1,SGX-523,>300nM
LZK,CI-1033,>300nM
PIK4CB,MLN-120B,>300nM
RIPK4,BMS-345541,>300nM
PIK3C2B,CHIR-265/RAF-265,>300nM
PRKG1,LY-317615,>300nM
RET(M918T),Vandetanib,<300nM
RIPK1,GSK-690693,>300nM
ERK2,MLN-518,>300nM
EGFR(S752-I759del),CP-690550,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),BIBW-2992,>300nM
RSK1(Kin.Dom.1-N-terminal),INCB18424,<300nM
EPHA2,AZD-1152HQPA,>300nM
CAMKK1,AC220,>300nM
ACVR2A,LY-333531,>300nM
AAK1,PKC-412,<300nM
CIT,JNJ-28312141,<300nM
EGFR,HKI-272,<300nM
"EGFR(L747-T751del,Sins)",R547,>300nM
PRKCI,AG-013736,>300nM
CAMKK1,CP-690550,>300nM
DYRK1B,Dasatinib,>300nM
AKT2,GDC-0941,>300nM
PIK3CA(Q546K),PP-242,<300nM
EGFR(S752-I759del),LY-333531,>300nM
MYO3A,AT-7519,>300nM
HUNK,LY-317615,>300nM
BIKE,Gefitinib,>300nM
MST3,TG-101348,>300nM
MEK4,CHIR-265/RAF-265,>300nM
AXL,AZD-2171,<300nM
PYK2,BIBW-2992,>300nM
FYN,SB-203580,>300nM
KIT(D816H),CI-1033,>300nM
DYRK2,LY-333531,>300nM
p38-beta,GDC-0941,>300nM
CDC2L5,BMS-540215,>300nM
ZAK,ABT-869,<300nM
MELK,MLN-518,>300nM
SGK3,PKC-412,<300nM
ABL1(Q252H)-nonphosphorylated,KW-2449,<300nM
ITK,MLN-518,>300nM
SLK,CHIR-258/TKI-258,<300nM
CSNK1D,AG-013736,>300nM
PHKG2,PLX-4720,>300nM
FGFR1,SGX-523,>300nM
RIPK5,AST-487,>300nM
ABL2,Dasatinib,<300nM
CDKL1,GDC-0941,>300nM
MLCK,Ki-20227,>300nM
SgK110,SGX-523,>300nM
ABL1(F317I)-nonphosphorylated,R406,<300nM
HIPK3,PTK-787,>300nM
PDGFRB,TAE-684,<300nM
MYO3B,Lapatinib,>300nM
SgK110,BMS-345541,>300nM
SIK2,CI-1033,>300nM
PRKCI,MLN-8054,>300nM
CDKL5,CHIR-258/TKI-258,>300nM
PYK2,BMS-540215,>300nM
TGFBR2,GSK-690693,>300nM
MKNK2,Vandetanib,<300nM
PKAC-beta,AZD-6244/ARRY-886,>300nM
PIK3CA(H1047Y),AG-013736,>300nM
ULK2,AZD-6244/ARRY-886,>300nM
p38-alpha,Nilotinib,>300nM
MARK1,Dasatinib,>300nM
DMPK2,GW-2580,>300nM
TEC,LY-333531,>300nM
RPS6KA4(Kin.Dom.1-N-terminal),Flavopiridol,<300nM
NEK1,TG-101348,>300nM
VEGFR2,R547,>300nM
FLT3,CHIR-258/TKI-258,<300nM
MET(Y1235D),Nilotinib,>300nM
CAMK1G,AT-7519,>300nM
LYN,AST-487,<300nM
MST1,AST-487,<300nM
DRAK2,AG-013736,>300nM
FLT3(N841I),AG-013736,<300nM
EPHB6,Gefitinib,<300nM
PAK6,Pazopanib,>300nM
RSK4(Kin.Dom.2-C-terminal),BIBW-2992,>300nM
ACVR1B,PKC-412,>300nM
LKB1,PD-173955,>300nM
EPHA4,CI-1033,>300nM
ADCK4,ABT-869,>300nM
DAPK2,AZD-2171,>300nM
MAST1,GSK-1838705A,>300nM
ANKK1,Erlotinib,>300nM
BLK,AZD-2171,<300nM
KIT(A829P),MLN-518,<300nM
NEK9,GW-2580,>300nM
PAK7,Lapatinib,>300nM
HIPK3,Crizotinib,>300nM
PIK3C2B,R406,>300nM
MAP3K1,AC220,>300nM
ABL1(H396P)-phosphorylated,SB-203580,>300nM
ABL1(M351T)-phosphorylated,Ki-20227,<300nM
FAK,Gefitinib,>300nM
PFPK5(P.falciparum),AG-013736,>300nM
NEK6,GSK-1838705A,>300nM
ACVRL1,AT-7519,>300nM
EPHA1,SGX-523,>300nM
MELK,AZD-6244/ARRY-886,>300nM
PRP4,GDC-0879,>300nM
p38-beta,AT-7519,>300nM
SYK,PP-242,>300nM
ABL1(Q252H)-nonphosphorylated,BI-2536,>300nM
MEK5,HKI-272,<300nM
MYLK,AZD-2171,>300nM
PAK2,PD-173955,>300nM
MERTK,MLN-120B,>300nM
RPS6KA5(Kin.Dom.2-C-terminal),GSK-1838705A,>300nM
PIK3CA(C420R),AZD-1152HQPA,>300nM
CAMK1,AC220,>300nM
PIK3C2G,BIRB-796,>300nM
FGFR1,AZD-2171,>300nM
GRK4,MLN-120B,>300nM
DAPK1,BMS-540215,>300nM
CDK11,BIRB-796,>300nM
SIK2,AC220,>300nM
CLK2,BI-2536,<300nM
MERTK,HKI-272,>300nM
ABL1(Q252H)-phosphorylated,Staurosporine,<300nM
EIF2AK1,KW-2449,<300nM
PCTK1,Imatinib,>300nM
CDKL5,MLN-8054,>300nM
PIK4CB,AZD-2171,>300nM
FLT3(ITD),JNJ-28312141,<300nM
TYK2(JH1domain-catalytic),Lapatinib,>300nM
LATS1,R406,<300nM
ABL1(T315I)-nonphosphorylated,GDC-0879,>300nM
PRKCQ,PLX-4720,>300nM
PHKG2,HKI-272,>300nM
NDR1,TAE-684,>300nM
MEK5,PKC-412,<300nM
CSNK2A2,SGX-523,>300nM
RIPK2,PKC-412,<300nM
PAK7,A-674563,>300nM
AKT1,PKC-412,<300nM
TEC,MLN-120B,>300nM
LATS2,KW-2449,<300nM
MARK2,Imatinib,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),SB-203580,>300nM
TAOK2,AT-7519,>300nM
EPHB1,Erlotinib,<300nM
JNK3,GSK-690693,>300nM
PIP5K1A,BMS-540215,>300nM
ERK3,Flavopiridol,>300nM
CDK9,Nilotinib,>300nM
FER,BMS-387032/SNS-032,>300nM
AKT1,AZD-1152HQPA,>300nM
ERK4,AZD-2171,>300nM
CLK1,PP-242,<300nM
IKK-epsilon,PHA-665752,>300nM
ZAK,CI-1033,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),PTK-787,>300nM
ULK2,R406,<300nM
MYO3B,MLN-8054,>300nM
EPHA6,Vandetanib,<300nM
PRKCQ,ABT-869,>300nM
CHEK1,Flavopiridol,>300nM
TEC,CHIR-265/RAF-265,>300nM
IRAK3,PLX-4720,>300nM
BIKE,GDC-0879,>300nM
MST3,Ki-20227,>300nM
IKK-epsilon,INCB18424,>300nM
RET(V804L),Lapatinib,>300nM
MLK2,MLN-8054,>300nM
"KIT(V559D,T670I)",TG-101348,<300nM
GRK7,Erlotinib,>300nM
EGFR(L858R),R547,>300nM
NDR1,BIBW-2992,>300nM
CSNK2A1,BIRB-796,>300nM
MTOR,BI-2536,>300nM
LCK,AG-013736,<300nM
PIK3C2G,A-674563,>300nM
EGFR(E746-A750del),Nilotinib,>300nM
SNRK,BMS-387032/SNS-032,>300nM
PRKCQ,GDC-0879,>300nM
LKB1,AZD-2171,>300nM
EPHB3,JNJ-28312141,>300nM
PIM1,Pazopanib,>300nM
PAK4,GSK-690693,>300nM
LKB1,CI-1033,>300nM
EPHB3,GSK-1838705A,>300nM
LKB1,BMS-387032/SNS-032,>300nM
ACVR1,AB-1010,>300nM
PKMYT1,SB-203580,>300nM
AKT1,Pazopanib,>300nM
PIK3CA(E545K),AC220,>300nM
DCAMKL3,GSK-690693,>300nM
PIM2,MLN-8054,>300nM
ERK4,SB-203580,>300nM
CAMKK1,R406,<300nM
RIPK5,Vandetanib,>300nM
PKNB(M.tuberculosis),AC220,>300nM
EPHA8,Vandetanib,<300nM
CSNK1D,CI-1033,>300nM
CDK9,LY-333531,>300nM
ICK,LY-317615,>300nM
SRPK2,TG-101348,<300nM
PIM2,CP-690550,>300nM
SIK,AZD-1152HQPA,>300nM
MEK6,CEP-701,<300nM
LIMK1,GW-2580,>300nM
EPHB6,Nilotinib,<300nM
PCTK3,Pazopanib,>300nM
ALK,Pazopanib,>300nM
PLK3,A-674563,>300nM
ROCK2,HKI-272,>300nM
KIT(L576P),MLN-120B,>300nM
MST3,Vandetanib,>300nM
MST2,Dasatinib,<300nM
CLK4,GDC-0879,>300nM
FGFR4,GDC-0941,>300nM
BRSK2,PP-242,>300nM
NDR1,MLN-120B,>300nM
IRAK3,BMS-345541,>300nM
RET(M918T),LY-317615,>300nM
TLK2,AC220,>300nM
RET(V804M),MLN-8054,>300nM
RET,Pazopanib,<300nM
MUSK,AST-487,<300nM
ABL1(H396P)-phosphorylated,PTK-787,>300nM
RIPK5,Crizotinib,>300nM
PCTK2,AB-1010,>300nM
CDK3,Pazopanib,>300nM
EGFR(S752-I759del),AZD-1152HQPA,<300nM
IRAK3,SB-203580,>300nM
TNK2,BMS-540215,>300nM
MEK4,CP-690550,>300nM
JAK1(JH2domain-pseudokinase),GSK-1838705A,>300nM
GRK4,INCB18424,>300nM
ZAP70,ABT-869,>300nM
ACVR2A,Nilotinib,>300nM
STK39,AST-487,>300nM
ABL1(Q252H)-phosphorylated,GSK-690693,>300nM
FGFR4,R547,>300nM
CDK3,CI-1033,>300nM
DDR2,CHIR-258/TKI-258,<300nM
ACVR2A,JNJ-28312141,<300nM
PIM2,BI-2536,>300nM
PIP5K2B,BMS-345541,>300nM
EGFR(L861Q),AG-013736,>300nM
MAST1,CEP-701,<300nM
ABL1(Q252H)-nonphosphorylated,PKC-412,<300nM
MAK,PTK-787,>300nM
MAPKAPK5,AZD-1152HQPA,>300nM
PIK3CA(M1043I),AZD-6244/ARRY-886,>300nM
TSSK1B,Lapatinib,>300nM
MAPKAPK2,Staurosporine,<300nM
RET(V804M),PTK-787,>300nM
"KIT(V559D,T670I)",TAE-684,<300nM
IGF1R,GSK-690693,>300nM
CAMKK1,BIRB-796,>300nM
SNRK,BMS-345541,>300nM
FAK,BMS-345541,>300nM
PAK6,Vandetanib,>300nM
LRRK2(G2019S),AZD-1152HQPA,>300nM
RSK1(Kin.Dom.2-C-terminal),GDC-0879,>300nM
PIK3C2B,CI-1033,>300nM
DAPK3,AZD-6244/ARRY-886,>300nM
PRKX,AC220,>300nM
PIK3C2G,Imatinib,>300nM
HIPK2,GSK-1838705A,>300nM
PRP4,Staurosporine,<300nM
PAK3,INCB18424,>300nM
ULK2,BI-2536,>300nM
PAK2,PKC-412,>300nM
PKAC-beta,KW-2449,<300nM
TIE1,Erlotinib,<300nM
ABL1(Q252H)-phosphorylated,Dasatinib,<300nM
CDK4-cyclinD1,Pazopanib,>300nM
CDC2L5,INCB18424,>300nM
LIMK2,AT-7519,>300nM
CAMK2B,AC220,>300nM
PIK3CA(E545A),GSK-690693,>300nM
DAPK1,GDC-0941,>300nM
YANK2,MLN-518,>300nM
AKT1,Gefitinib,>300nM
NEK9,BMS-540215,>300nM
PAK6,BI-2536,>300nM
STK35,TAE-684,<300nM
MKNK2,MLN-518,>300nM
CLK3,TAE-684,<300nM
HIPK1,Gefitinib,>300nM
MLK2,AG-013736,>300nM
EGFR(T790M),TAE-684,<300nM
CSNK1A1L,Nilotinib,>300nM
MAPKAPK5,PP-242,>300nM
RIOK3,TAE-684,<300nM
KIT(A829P),BMS-540215,<300nM
YSK1,GSK-1838705A,>300nM
ZAP70,AZD-1152HQPA,>300nM
PIK3C2B,AZD-1152HQPA,>300nM
FGR,JNJ-28312141,<300nM
YANK3,AZD-6244/ARRY-886,>300nM
ABL1(T315I)-phosphorylated,Staurosporine,<300nM
PIK3CD,Staurosporine,>300nM
TIE2,PHA-665752,<300nM
EPHA2,PTK-787,>300nM
CDKL3,CHIR-258/TKI-258,>300nM
NEK9,CHIR-265/RAF-265,>300nM
EGFR(L861Q),GSK-690693,>300nM
NEK3,Dasatinib,>300nM
DAPK3,R547,>300nM
CDK9,LY-317615,>300nM
PFTK1,Crizotinib,>300nM
IRAK3,BIBW-2992,>300nM
MKNK1,Gefitinib,>300nM
CAMKK2,BMS-345541,>300nM
PIK3CA(H1047Y),Imatinib,>300nM
LOK,R406,<300nM
ERBB2,MLN-120B,>300nM
PRKD2,Lapatinib,>300nM
PFTK1,AC220,>300nM
S6K1,BI-2536,>300nM
EPHA6,BMS-345541,>300nM
CAMK1D,BMS-345541,>300nM
LKB1,LY-317615,>300nM
MAP4K5,CHIR-265/RAF-265,>300nM
ICK,Flavopiridol,>300nM
STK35,Nilotinib,>300nM
TSSK1B,BMS-387032/SNS-032,>300nM
DCAMKL3,Lapatinib,>300nM
IGF1R,ABT-869,>300nM
CDK7,PHA-665752,<300nM
PDPK1,MLN-120B,>300nM
PRKD3,SGX-523,>300nM
TIE2,Staurosporine,<300nM
NDR2,Dasatinib,>300nM
SNRK,CHIR-265/RAF-265,>300nM
PAK6,Erlotinib,>300nM
KIT(D816H),AZD-1152HQPA,<300nM
LZK,TAE-684,<300nM
EPHA5,R406,<300nM
AKT1,MLN-120B,>300nM
CDK9,AZD-2171,>300nM
IKK-alpha,BIBW-2992,>300nM
PIM3,INCB18424,>300nM
EPHB3,Ki-20227,>300nM
EPHA8,BIBW-2992,>300nM
MARK1,TG-101348,>300nM
TGFBR2,MLN-518,>300nM
DYRK1B,CEP-701,<300nM
IRAK4,BIBW-2992,>300nM
ACVR2B,GDC-0879,>300nM
"EGFR(L747-E749del, A750P)",AT-7519,>300nM
AKT2,BMS-540215,>300nM
ERK1,AT-7519,>300nM
FGFR3,SB-203580,>300nM
TYRO3,BMS-387032/SNS-032,>300nM
DAPK2,GDC-0941,>300nM
CSNK2A1,Ki-20227,>300nM
STK16,CHIR-258/TKI-258,<300nM
CDK7,LY-333531,>300nM
DAPK2,CEP-701,<300nM
AMPK-alpha2,Pazopanib,>300nM
SRMS,AZD-1152HQPA,>300nM
TRKB,CHIR-258/TKI-258,<300nM
MEK3,Imatinib,>300nM
FGFR3,PP-242,<300nM
PIP5K2C,AZD-1152HQPA,>300nM
FGFR4,PKC-412,<300nM
TRPM6,CP-690550,>300nM
DMPK,AG-013736,>300nM
EPHA6,BIBW-2992,>300nM
CLK1,Dasatinib,<300nM
ABL1(F317L)-phosphorylated,PHA-665752,<300nM
MELK,MLN-8054,>300nM
TLK1,MLN-120B,>300nM
DAPK3,BI-2536,>300nM
ABL1(F317L)-phosphorylated,Crizotinib,<300nM
NEK5,GDC-0941,>300nM
PRKCH,CHIR-258/TKI-258,>300nM
ABL1(Q252H)-phosphorylated,AZD-6244/ARRY-886,>300nM
CSNK1G1,TAE-684,>300nM
STK35,ABT-869,>300nM
PCTK3,GW-2580,>300nM
RSK4(Kin.Dom.2-C-terminal),A-674563,>300nM
VRK2,GSK-1838705A,>300nM
BMPR2,Nilotinib,>300nM
"EGFR(L747-T751del,Sins)",AC220,>300nM
DYRK2,AZD-6244/ARRY-886,>300nM
S6K1,Dasatinib,>300nM
JNK2,GSK-1838705A,>300nM
STK39,Nilotinib,>300nM
PIK3CA(Q546K),BIBW-2992,>300nM
PKMYT1,BIRB-796,>300nM
YSK4,CP-690550,>300nM
CDC2L2,Imatinib,>300nM
FLT1,GDC-0879,>300nM
AKT3,AC220,>300nM
EPHB1,CHIR-258/TKI-258,<300nM
FGFR4,Flavopiridol,>300nM
CLK4,JNJ-28312141,<300nM
CSF1R,AB-1010,<300nM
ICK,Imatinib,>300nM
ACVRL1,Gefitinib,>300nM
ERK1,MLN-8054,>300nM
CDKL3,CP-690550,>300nM
MST4,GSK-1838705A,>300nM
PRP4,CHIR-265/RAF-265,>300nM
MUSK,PLX-4720,>300nM
ABL1(F317I)-phosphorylated,Crizotinib,<300nM
RET(V804L),MLN-518,>300nM
PIP5K1A,Erlotinib,>300nM
PIK3C2B,AT-7519,>300nM
FLT3,Vandetanib,<300nM
TNIK,CHIR-265/RAF-265,<300nM
CDKL5,Imatinib,>300nM
MST1R,MLN-518,>300nM
ACVRL1,PP-242,<300nM
PIK3CA(Q546K),GW-2580,>300nM
IRAK4,Imatinib,>300nM
NEK6,CI-1033,>300nM
CDK5,TG-101348,>300nM
MYLK2,PP-242,<300nM
PIK3CA(E545K),JNJ-28312141,>300nM
CAMK2G,A-674563,<300nM
YANK1,PTK-787,>300nM
MLCK,Imatinib,>300nM
PKAC-beta,Nilotinib,>300nM
MARK2,GDC-0879,>300nM
STK35,Gefitinib,>300nM
ASK2,LY-317615,>300nM
RSK1(Kin.Dom.1-N-terminal),GDC-0879,>300nM
MLK3,AST-487,>300nM
SIK,AB-1010,>300nM
MEK6,BIRB-796,>300nM
ABL1(T315I)-nonphosphorylated,Imatinib,<300nM
PLK1,BIBW-2992,>300nM
EGFR(L861Q),AT-7519,>300nM
CLK3,MLN-120B,>300nM
PDPK1,PKC-412,>300nM
EPHA7,PHA-665752,>300nM
ABL1(T315I)-nonphosphorylated,PLX-4720,<300nM
EPHB4,Vandetanib,<300nM
